(253, 1380, 1403)
(254, 16128, 16130)
(255, 32512, 32513)
(255, 10836, 10839)
(255, 6500, 6505)
(255, 3608, 3617)
(255, 2160, 2175)
(255, 1904, 1921)
(255, 1288, 1313)
(255, 700, 745)
(255, 612, 663)
(255, 396, 471)
(255, 340, 425)
(256, 16383, 16385)
(256, 8190, 8194)
(256, 4092, 4100)
(256, 2040, 2056)
(256, 1008, 1040)
(256, 480, 544)
(257, 33024, 33025)
(258, 16640, 16642)
(258, 5544, 5550)
(258, 1840, 1858)
(258, 344, 430)
(259, 33540, 33541)
(259, 4788, 4795)
(259, 888, 925)
(259, 660, 709)
(260, 16899, 16901)
(260, 8448, 8452)
(260, 4221, 4229)
(260, 3375, 3385)
(260, 1680, 1700)
(260, 1287, 1313)
(260, 825, 865)
(260, 651, 701)
(260, 624, 676)
(260, 288, 388)
(260, 273, 377)
(261, 34060, 34061)
(261, 11352, 11355)
(261, 3780, 3789)
(261, 1248, 1275)
(261, 1160, 1189)
(261, 380, 461)
(261, 348, 435)
(262, 17160, 17162)
